Gene Species Taxon Signature
gene 28s310_640_bp 28s310_640_bp 0.6464538874745879
gene 28s309_640_bp 28s309_640_bp 0.0389422252573966
gene 28s62_640_bp 28s62_640_bp 0.0389422252573966
gene 28s270_640_bp 28s270_640_bp 0.0389422252573966
gene 28s271_640_bp 28s271_640_bp 0.0389422252573966
gene 28s370_640_bp 28s370_640_bp 0.015579300066710256
gene 28s302_640_bp 28s302_640_bp 0.011469176550410737
gene 28s35_640_bp 28s35_640_bp 0.011577900493019037
gene 28s54_640_bp 28s54_640_bp 0.011577900493019037
gene 28s207_640_bp 28s207_640_bp 0.011469176550410737
gene 28s204_640_bp 28s204_640_bp 0.011469176550410737
gene 28s206_640_bp 28s206_640_bp 0.01031333344587006
gene 28s45_640_bp 28s45_640_bp 0.009970639292823576
gene 28s38_640_bp 28s38_640_bp 0.009970639292823576
gene 28s42_640_bp 28s42_640_bp 0.009970639292823576
gene 28s305_640_bp 28s305_640_bp 0.01031333344587006
gene 28s200_640_bp 28s200_640_bp 0.009970639292823576
gene 28s329_640_bp 28s329_640_bp 0.01031333344587006
gene 28s205_640_bp 28s205_640_bp 0.01031333344587006
gene 28s34_640_bp 28s34_640_bp 0.009970639292823576
gene 28s385_640_bp 28s385_640_bp 0.009970639292823576
gene 28s209_640_bp 28s209_640_bp 0.009970639292823576
gene 28s201_640_bp 28s201_640_bp 0.009970639292823576
gene 28s210_640_bp 28s210_640_bp 0.009185376471374525
gene 28s50_640_bp 28s50_640_bp 0.009185376471374525
gene 28s387_640_bp 28s387_640_bp 0.009185376471374525
gene 28s315_640_bp 28s315_640_bp 0.01031333344587006
gene 28s338_640_bp 28s338_640_bp 0.01031333344587006
gene 28s51_640_bp 28s51_640_bp 0.0026999122672401103
gene 28s317_640_bp 28s317_640_bp 0.01031333344587006
gene 28s256_640_bp 28s256_640_bp 0.01031333344587006
gene 28s318_640_bp 28s318_640_bp 0.01031333344587006
gene 28s37_640_bp 28s37_640_bp 0.0026999122672401103
gene 28s321_640_bp 28s321_640_bp 0.01031333344587006
gene 28s379_640_bp 28s379_640_bp 0.0026999122672401103
gene 28s77_640_bp 28s77_640_bp 0.0026999122672401103
gene 28s384_640_bp 28s384_640_bp 0.0026999122672401103
gene 28s272_640_bp 28s272_640_bp 0.01031333344587006
gene 28s335_640_bp 28s335_640_bp 0.01031333344587006
gene 28s339_640_bp 28s339_640_bp 0.01031333344587006
gene 28s324_640_bp 28s324_640_bp 0.01031333344587006
gene 28s108_640_bp 28s108_640_bp 0.01031333344587006
gene 28s343_640_bp 28s343_640_bp 0.01031333344587006
gene 28s328_640_bp 28s328_640_bp 0.01031333344587006
gene 28s327_640_bp 28s327_640_bp 0.01031333344587006
gene 28s109_640_bp 28s109_640_bp 0.01031333344587006
gene 28s107_640_bp 28s107_640_bp 0.01031333344587006
gene 28s340_640_bp 28s340_640_bp 0.01031333344587006
gene 28s319_640_bp 28s319_640_bp 0.01031333344587006
gene 28s336_640_bp 28s336_640_bp 0.01031333344587006
gene 28s255_640_bp 28s255_640_bp 0.01031333344587006
gene 28s334_640_bp 28s334_640_bp 0.01031333344587006
gene 28s323_640_bp 28s323_640_bp 0.01031333344587006
gene 28s213_640_bp 28s213_640_bp 0.01031333344587006
gene 28s222_640_bp 28s222_640_bp 0.01031333344587006
