Gene Species Taxon Signature
gene 18s361_1757_bp 18s361_1757_bp 1.3530128272558715
gene 18s578_1757_bp 18s578_1757_bp 1.3530128272558715
gene 18s576_1757_bp 18s576_1757_bp 0.3570314936856859
gene 18s127_1757_bp 18s127_1757_bp 0.19955508184181694
gene 18s609_1757_bp 18s609_1757_bp 1.3530128272558715
gene 18s369_1757_bp 18s369_1757_bp 0.19955508184181694
gene 18s505_1757_bp 18s505_1757_bp 0.12799251856869656
gene 18s506_1757_bp 18s506_1757_bp 0.12799251856869656
gene 18s444_1757_bp 18s444_1757_bp 1.3530128272558715
gene 18s378_1757_bp 18s378_1757_bp 0.07818349663635026
gene 18s672_1757_bp 18s672_1757_bp 0.07818349663635026
gene 18s726_1757_bp 18s726_1757_bp 0.07818349663635026
gene 18s239_1757_bp 18s239_1757_bp 1.3530128272558715
gene 18s241_1757_bp 18s241_1757_bp 1.3530128272558715
gene 18s587_1757_bp 18s587_1757_bp 1.3530128272558715
gene 18s614_1757_bp 18s614_1757_bp 1.3530128272558715
gene 18s520_1757_bp 18s520_1757_bp 0.07818349663635026
gene 18s611_1757_bp 18s611_1757_bp 1.3530128272558715
gene 18s606_1757_bp 18s606_1757_bp 1.3530128272558715
gene 18s607_1757_bp 18s607_1757_bp 1.3530128272558715
gene 18s592_1757_bp 18s592_1757_bp 1.3530128272558715
gene 18s612_1757_bp 18s612_1757_bp 1.3530128272558715
gene 18s597_1757_bp 18s597_1757_bp 1.3530128272558715
gene 18s586_1757_bp 18s586_1757_bp 1.3530128272558715
gene 18s603_1757_bp 18s603_1757_bp 1.3530128272558715
gene 18s616_1757_bp 18s616_1757_bp 1.3530128272558715
gene 18s580_1757_bp 18s580_1757_bp 1.3530128272558715
gene 18s599_1757_bp 18s599_1757_bp 1.3530128272558715
gene 18s591_1757_bp 18s591_1757_bp 1.3530128272558715
gene 18s703_1757_bp 18s703_1757_bp 1.3530128272558715
gene 18s695_1757_bp 18s695_1757_bp 0.04566068079033044
gene 18s376_1757_bp 18s376_1757_bp 0.044710259644202686
gene 18s356_1757_bp 18s356_1757_bp 0.044710259644202686
gene 18s525_1757_bp 18s525_1757_bp 0.07818349663635026
gene 18s515_1757_bp 18s515_1757_bp 0.07818349663635026
gene 18s521_1757_bp 18s521_1757_bp 0.04566068079033044
gene 18s379_1757_bp 18s379_1757_bp 0.044710259644202686
gene 18s421_1757_bp 18s421_1757_bp 0.044710259644202686
gene 18s88_1757_bp 18s88_1757_bp 0.044710259644202686
gene 18s512_1757_bp 18s512_1757_bp 0.044710259644202686
gene 18s167_1757_bp 18s167_1757_bp 0.044710259644202686
gene 18s513_1757_bp 18s513_1757_bp 0.02782320227822279
gene 18s671_1757_bp 18s671_1757_bp 0.044710259644202686
gene 18s73_1757_bp 18s73_1757_bp 0.044710259644202686
gene 18s104_1757_bp 18s104_1757_bp 0.044710259644202686
gene 18s97_1757_bp 18s97_1757_bp 0.044710259644202686
gene 18s101_1757_bp 18s101_1757_bp 0.044710259644202686
gene 18s434_1757_bp 18s434_1757_bp 0.02782320227822279
gene 18s165_1757_bp 18s165_1757_bp 0.02782320227822279
gene 18s108_1757_bp 18s108_1757_bp 0.02782320227822279
gene 18s681_1757_bp 18s681_1757_bp 0.02782320227822279
gene 18s371_1757_bp 18s371_1757_bp 0.02782320227822279
gene 18s106_1757_bp 18s106_1757_bp 0.0256360071446844
gene 18s438_1757_bp 18s438_1757_bp 0.0256360071446844
